id_cmd|id_c|id_v|quantite_et_pdt|date_cmd
365|2|4|[{id_produit=47, quantite=17}, {id_produit=8, quantite=3}, {id_produit=1, quantite=4}]|23-10-2022
366|16|3|[{id_produit=2, quantite=20}, {id_produit=32, quantite=5}, {id_produit=16, quantite=12}, {id_produit=14, quantite=13}, {id_produit=25, quantite=2}, {id_produit=5, quantite=19}, {id_produit=8, quantite=3}, {id_produit=8, quantite=5}, {id_produit=31, quantite=6}]|27-09-2022
367|54|4|[{id_produit=50, quantite=20}, {id_produit=60, quantite=8}, {id_produit=22, quantite=7}, {id_produit=13, quantite=4}, {id_produit=37, quantite=5}, {id_produit=35, quantite=7}, {id_produit=55, quantite=3}, {id_produit=48, quantite=20}, {id_produit=54, quantite=13}, {id_produit=4, quantite=3}, {id_produit=19, quantite=8}, {id_produit=19, quantite=14}, {id_produit=16, quantite=12}, {id_produit=48, quantite=3}, {id_produit=31, quantite=7}, {id_produit=41, quantite=12}, {id_produit=25, quantite=14}, {id_produit=16, quantite=12}]|14-07-2022
368|27|2|[{id_produit=1, quantite=5}, {id_produit=37, quantite=1}, {id_produit=36, quantite=18}, {id_produit=43, quantite=19}, {id_produit=15, quantite=18}, {id_produit=15, quantite=11}, {id_produit=17, quantite=18}, {id_produit=22, quantite=5}, {id_produit=6, quantite=6}, {id_produit=15, quantite=7}, {id_produit=14, quantite=11}, {id_produit=53, quantite=15}]|17-09-2021
369|13|3|[{id_produit=30, quantite=7}, {id_produit=34, quantite=10}, {id_produit=51, quantite=19}, {id_produit=23, quantite=13}, {id_produit=4, quantite=7}, {id_produit=18, quantite=12}, {id_produit=50, quantite=10}, {id_produit=6, quantite=5}, {id_produit=12, quantite=1}, {id_produit=7, quantite=1}, {id_produit=10, quantite=5}, {id_produit=13, quantite=15}, {id_produit=39, quantite=16}, {id_produit=20, quantite=14}, {id_produit=1, quantite=14}]|28-03-2021
370|60|5|[{id_produit=17, quantite=12}, {id_produit=41, quantite=14}, {id_produit=29, quantite=5}, {id_produit=40, quantite=10}, {id_produit=60, quantite=2}, {id_produit=59, quantite=18}, {id_produit=8, quantite=6}, {id_produit=19, quantite=18}, {id_produit=11, quantite=7}, {id_produit=13, quantite=6}, {id_produit=39, quantite=14}, {id_produit=21, quantite=7}, {id_produit=35, quantite=6}, {id_produit=16, quantite=7}, {id_produit=37, quantite=4}, {id_produit=22, quantite=17}]|09-11-2021
371|64|1|[{id_produit=18, quantite=14}, {id_produit=9, quantite=10}, {id_produit=11, quantite=3}, {id_produit=7, quantite=15}, {id_produit=9, quantite=5}, {id_produit=28, quantite=14}, {id_produit=58, quantite=9}, {id_produit=50, quantite=9}, {id_produit=22, quantite=13}, {id_produit=54, quantite=5}, {id_produit=28, quantite=17}]|01-05-2021
372|10|2|[{id_produit=38, quantite=20}, {id_produit=45, quantite=17}]|29-08-2022
373|84|1|[{id_produit=33, quantite=15}, {id_produit=15, quantite=6}, {id_produit=9, quantite=12}, {id_produit=45, quantite=10}, {id_produit=52, quantite=4}, {id_produit=25, quantite=5}, {id_produit=54, quantite=20}, {id_produit=12, quantite=20}, {id_produit=38, quantite=4}]|07-08-2022
374|35|3|[{id_produit=20, quantite=16}, {id_produit=6, quantite=1}]|11-06-2022
375|36|4|[{id_produit=58, quantite=9}, {id_produit=5, quantite=6}, {id_produit=53, quantite=12}, {id_produit=31, quantite=11}, {id_produit=58, quantite=19}, {id_produit=37, quantite=16}, {id_produit=47, quantite=16}, {id_produit=39, quantite=18}]|21-10-2021
376|28|4|[{id_produit=50, quantite=1}, {id_produit=50, quantite=1}, {id_produit=27, quantite=17}, {id_produit=46, quantite=11}, {id_produit=42, quantite=17}, {id_produit=29, quantite=12}, {id_produit=48, quantite=20}, {id_produit=47, quantite=17}, {id_produit=25, quantite=13}, {id_produit=2, quantite=13}, {id_produit=55, quantite=6}, {id_produit=54, quantite=5}, {id_produit=60, quantite=4}, {id_produit=24, quantite=6}, {id_produit=57, quantite=10}, {id_produit=15, quantite=18}, {id_produit=41, quantite=16}, {id_produit=26, quantite=16}]|23-05-2021
377|1|2|[{id_produit=20, quantite=19}, {id_produit=33, quantite=2}, {id_produit=10, quantite=2}, {id_produit=47, quantite=16}, {id_produit=60, quantite=3}, {id_produit=50, quantite=12}, {id_produit=25, quantite=19}]|05-06-2022
378|57|1|[{id_produit=30, quantite=12}, {id_produit=43, quantite=5}, {id_produit=54, quantite=14}]|02-07-2021
379|23|1|[{id_produit=35, quantite=15}, {id_produit=47, quantite=9}, {id_produit=58, quantite=6}, {id_produit=36, quantite=20}, {id_produit=31, quantite=9}, {id_produit=47, quantite=9}, {id_produit=18, quantite=8}, {id_produit=52, quantite=17}, {id_produit=20, quantite=1}, {id_produit=32, quantite=18}, {id_produit=50, quantite=3}, {id_produit=22, quantite=8}, {id_produit=56, quantite=7}, {id_produit=40, quantite=1}]|11-01-2022
380|80|2|[{id_produit=51, quantite=1}, {id_produit=42, quantite=2}, {id_produit=38, quantite=5}, {id_produit=23, quantite=9}, {id_produit=24, quantite=17}, {id_produit=52, quantite=17}, {id_produit=36, quantite=11}, {id_produit=11, quantite=6}]|14-08-2021
381|19|5|[{id_produit=31, quantite=20}, {id_produit=4, quantite=3}, {id_produit=8, quantite=18}, {id_produit=4, quantite=7}]|04-04-2021
382|22|1|[{id_produit=19, quantite=17}, {id_produit=55, quantite=17}, {id_produit=4, quantite=15}, {id_produit=40, quantite=13}, {id_produit=39, quantite=15}, {id_produit=55, quantite=5}, {id_produit=47, quantite=13}, {id_produit=59, quantite=19}, {id_produit=1, quantite=15}, {id_produit=8, quantite=7}, {id_produit=54, quantite=12}, {id_produit=6, quantite=4}, {id_produit=39, quantite=19}, {id_produit=49, quantite=19}, {id_produit=2, quantite=15}, {id_produit=46, quantite=16}, {id_produit=46, quantite=7}]|22-01-2022
383|70|5|[{id_produit=16, quantite=5}, {id_produit=37, quantite=2}, {id_produit=38, quantite=1}, {id_produit=17, quantite=2}, {id_produit=14, quantite=5}, {id_produit=44, quantite=19}, {id_produit=22, quantite=9}, {id_produit=19, quantite=9}, {id_produit=48, quantite=10}, {id_produit=17, quantite=17}, {id_produit=13, quantite=4}, {id_produit=50, quantite=19}, {id_produit=6, quantite=15}, {id_produit=18, quantite=9}, {id_produit=16, quantite=8}, {id_produit=27, quantite=1}, {id_produit=3, quantite=13}, {id_produit=5, quantite=18}, {id_produit=15, quantite=13}, {id_produit=34, quantite=8}]|24-08-2021
384|84|1|[{id_produit=33, quantite=2}, {id_produit=31, quantite=10}, {id_produit=49, quantite=20}, {id_produit=50, quantite=8}, {id_produit=47, quantite=2}, {id_produit=24, quantite=11}, {id_produit=49, quantite=10}, {id_produit=33, quantite=10}, {id_produit=37, quantite=3}, {id_produit=47, quantite=3}, {id_produit=47, quantite=1}, {id_produit=3, quantite=19}, {id_produit=55, quantite=8}, {id_produit=54, quantite=3}, {id_produit=11, quantite=14}, {id_produit=58, quantite=1}, {id_produit=9, quantite=17}, {id_produit=36, quantite=16}]|15-03-2022
385|7|3|[{id_produit=4, quantite=7}]|02-12-2021
386|84|5|[{id_produit=50, quantite=19}, {id_produit=49, quantite=7}, {id_produit=37, quantite=17}, {id_produit=33, quantite=13}, {id_produit=15, quantite=10}, {id_produit=21, quantite=15}, {id_produit=23, quantite=5}, {id_produit=3, quantite=10}, {id_produit=54, quantite=20}, {id_produit=46, quantite=20}, {id_produit=56, quantite=13}, {id_produit=55, quantite=18}, {id_produit=5, quantite=7}, {id_produit=42, quantite=17}, {id_produit=49, quantite=15}, {id_produit=20, quantite=7}, {id_produit=37, quantite=11}]|08-04-2021
387|90|3|[{id_produit=14, quantite=13}, {id_produit=60, quantite=20}, {id_produit=2, quantite=8}, {id_produit=25, quantite=3}, {id_produit=51, quantite=20}, {id_produit=11, quantite=10}, {id_produit=3, quantite=5}, {id_produit=5, quantite=14}, {id_produit=16, quantite=8}, {id_produit=27, quantite=13}, {id_produit=1, quantite=8}, {id_produit=21, quantite=5}, {id_produit=37, quantite=12}, {id_produit=18, quantite=18}, {id_produit=37, quantite=14}]|21-09-2021
388|44|4|[{id_produit=49, quantite=16}, {id_produit=60, quantite=19}, {id_produit=9, quantite=17}, {id_produit=9, quantite=10}, {id_produit=20, quantite=3}, {id_produit=43, quantite=11}, {id_produit=17, quantite=2}]|22-11-2021
389|4|3|[{id_produit=19, quantite=4}, {id_produit=51, quantite=13}, {id_produit=40, quantite=16}, {id_produit=25, quantite=12}, {id_produit=11, quantite=14}, {id_produit=9, quantite=4}, {id_produit=25, quantite=3}]|10-03-2022
390|86|2|[{id_produit=42, quantite=7}, {id_produit=59, quantite=5}, {id_produit=35, quantite=4}, {id_produit=1, quantite=9}, {id_produit=46, quantite=20}, {id_produit=11, quantite=14}, {id_produit=6, quantite=8}, {id_produit=48, quantite=4}, {id_produit=27, quantite=3}, {id_produit=16, quantite=15}, {id_produit=59, quantite=14}, {id_produit=44, quantite=17}, {id_produit=26, quantite=1}, {id_produit=35, quantite=8}, {id_produit=34, quantite=20}, {id_produit=25, quantite=13}, {id_produit=59, quantite=10}, {id_produit=28, quantite=3}]|03-03-2021
391|4|2|[{id_produit=30, quantite=19}, {id_produit=10, quantite=8}]|16-03-2021
392|36|1|[{id_produit=49, quantite=3}]|01-07-2022
393|94|3|[{id_produit=12, quantite=10}, {id_produit=11, quantite=15}, {id_produit=45, quantite=3}, {id_produit=60, quantite=2}, {id_produit=29, quantite=10}, {id_produit=32, quantite=13}, {id_produit=2, quantite=20}, {id_produit=8, quantite=20}, {id_produit=49, quantite=11}, {id_produit=16, quantite=12}, {id_produit=13, quantite=19}]|25-09-2021
394|86|3|[{id_produit=15, quantite=5}, {id_produit=20, quantite=12}, {id_produit=14, quantite=15}, {id_produit=25, quantite=8}, {id_produit=60, quantite=16}]|26-07-2022
395|81|4|[{id_produit=5, quantite=16}, {id_produit=14, quantite=8}, {id_produit=33, quantite=2}, {id_produit=11, quantite=13}, {id_produit=48, quantite=18}, {id_produit=20, quantite=14}, {id_produit=10, quantite=9}, {id_produit=13, quantite=10}, {id_produit=54, quantite=6}, {id_produit=31, quantite=19}, {id_produit=2, quantite=11}, {id_produit=20, quantite=20}, {id_produit=52, quantite=11}, {id_produit=25, quantite=8}]|10-07-2022
396|91|5|[{id_produit=60, quantite=5}, {id_produit=40, quantite=19}]|05-09-2021
397|80|3|[{id_produit=22, quantite=11}, {id_produit=12, quantite=16}, {id_produit=45, quantite=5}, {id_produit=37, quantite=10}, {id_produit=52, quantite=15}, {id_produit=49, quantite=3}, {id_produit=24, quantite=20}, {id_produit=52, quantite=16}, {id_produit=59, quantite=1}, {id_produit=12, quantite=5}, {id_produit=33, quantite=13}]|27-11-2022
398|24|1|[{id_produit=23, quantite=10}, {id_produit=7, quantite=16}, {id_produit=29, quantite=3}, {id_produit=12, quantite=7}, {id_produit=12, quantite=16}, {id_produit=44, quantite=5}, {id_produit=3, quantite=20}, {id_produit=21, quantite=4}, {id_produit=8, quantite=19}, {id_produit=15, quantite=19}, {id_produit=50, quantite=18}]|16-01-2022
399|6|2|[{id_produit=42, quantite=10}, {id_produit=39, quantite=16}, {id_produit=11, quantite=19}, {id_produit=3, quantite=17}, {id_produit=28, quantite=13}, {id_produit=15, quantite=17}, {id_produit=12, quantite=14}, {id_produit=14, quantite=9}, {id_produit=35, quantite=17}, {id_produit=25, quantite=4}, {id_produit=4, quantite=5}, {id_produit=6, quantite=5}, {id_produit=54, quantite=9}, {id_produit=36, quantite=18}]|22-09-2022
400|62|5|[{id_produit=27, quantite=16}, {id_produit=44, quantite=13}, {id_produit=41, quantite=4}, {id_produit=53, quantite=11}, {id_produit=8, quantite=2}, {id_produit=34, quantite=5}, {id_produit=3, quantite=2}, {id_produit=15, quantite=9}, {id_produit=54, quantite=7}, {id_produit=33, quantite=4}, {id_produit=12, quantite=12}]|27-01-2021
401|33|2|[{id_produit=51, quantite=3}, {id_produit=7, quantite=11}, {id_produit=60, quantite=19}, {id_produit=49, quantite=14}, {id_produit=37, quantite=14}, {id_produit=27, quantite=3}, {id_produit=36, quantite=4}, {id_produit=47, quantite=12}, {id_produit=15, quantite=19}, {id_produit=35, quantite=16}, {id_produit=21, quantite=11}]|22-03-2022
402|52|5|[{id_produit=12, quantite=15}, {id_produit=45, quantite=16}, {id_produit=31, quantite=4}, {id_produit=44, quantite=1}, {id_produit=20, quantite=1}, {id_produit=7, quantite=20}, {id_produit=26, quantite=2}, {id_produit=24, quantite=1}, {id_produit=22, quantite=16}, {id_produit=18, quantite=19}, {id_produit=15, quantite=12}, {id_produit=31, quantite=8}, {id_produit=41, quantite=15}, {id_produit=37, quantite=2}, {id_produit=52, quantite=18}, {id_produit=9, quantite=9}, {id_produit=2, quantite=3}, {id_produit=20, quantite=17}, {id_produit=45, quantite=7}, {id_produit=57, quantite=1}]|09-04-2022
403|81|4|[{id_produit=38, quantite=8}, {id_produit=1, quantite=17}, {id_produit=25, quantite=15}, {id_produit=60, quantite=14}, {id_produit=11, quantite=3}, {id_produit=47, quantite=14}]|10-02-2022
404|93|2|[{id_produit=22, quantite=14}, {id_produit=57, quantite=18}, {id_produit=12, quantite=9}, {id_produit=23, quantite=13}, {id_produit=58, quantite=13}, {id_produit=59, quantite=4}, {id_produit=20, quantite=7}, {id_produit=17, quantite=13}, {id_produit=31, quantite=17}, {id_produit=56, quantite=14}, {id_produit=7, quantite=7}, {id_produit=19, quantite=1}, {id_produit=59, quantite=17}, {id_produit=39, quantite=14}, {id_produit=60, quantite=9}, {id_produit=60, quantite=16}, {id_produit=19, quantite=17}]|23-12-2022
405|86|5|[{id_produit=37, quantite=12}, {id_produit=12, quantite=12}, {id_produit=20, quantite=15}, {id_produit=5, quantite=15}, {id_produit=35, quantite=9}, {id_produit=43, quantite=16}, {id_produit=21, quantite=13}, {id_produit=56, quantite=12}, {id_produit=43, quantite=13}, {id_produit=26, quantite=16}, {id_produit=4, quantite=20}, {id_produit=48, quantite=10}, {id_produit=34, quantite=10}]|20-08-2021
406|98|4|[{id_produit=41, quantite=12}, {id_produit=35, quantite=17}, {id_produit=17, quantite=17}, {id_produit=11, quantite=7}, {id_produit=49, quantite=6}, {id_produit=14, quantite=10}, {id_produit=12, quantite=9}, {id_produit=19, quantite=7}]|24-04-2021
407|96|3|[{id_produit=53, quantite=19}, {id_produit=42, quantite=3}, {id_produit=37, quantite=13}, {id_produit=36, quantite=15}, {id_produit=43, quantite=19}, {id_produit=59, quantite=1}, {id_produit=18, quantite=18}, {id_produit=42, quantite=5}]|28-10-2021
408|72|5|[{id_produit=16, quantite=19}, {id_produit=52, quantite=16}, {id_produit=44, quantite=10}, {id_produit=23, quantite=6}, {id_produit=19, quantite=14}, {id_produit=35, quantite=8}, {id_produit=59, quantite=3}, {id_produit=7, quantite=11}, {id_produit=25, quantite=7}, {id_produit=27, quantite=14}, {id_produit=27, quantite=10}, {id_produit=25, quantite=11}]|25-01-2021
409|33|5|[{id_produit=26, quantite=13}, {id_produit=44, quantite=13}]|29-10-2021
410|27|2|[{id_produit=29, quantite=1}, {id_produit=10, quantite=15}, {id_produit=46, quantite=14}, {id_produit=2, quantite=3}, {id_produit=21, quantite=13}]|21-03-2021
411|13|1|[{id_produit=36, quantite=1}, {id_produit=8, quantite=1}, {id_produit=33, quantite=16}, {id_produit=58, quantite=5}, {id_produit=56, quantite=5}, {id_produit=20, quantite=12}, {id_produit=3, quantite=1}, {id_produit=58, quantite=4}, {id_produit=38, quantite=16}, {id_produit=44, quantite=20}, {id_produit=20, quantite=15}, {id_produit=1, quantite=1}, {id_produit=39, quantite=1}, {id_produit=22, quantite=20}]|30-03-2021
412|35|5|[{id_produit=12, quantite=18}, {id_produit=2, quantite=4}, {id_produit=52, quantite=1}, {id_produit=44, quantite=8}, {id_produit=2, quantite=15}, {id_produit=39, quantite=8}, {id_produit=40, quantite=14}, {id_produit=41, quantite=2}, {id_produit=25, quantite=6}, {id_produit=40, quantite=18}, {id_produit=9, quantite=12}, {id_produit=2, quantite=10}, {id_produit=57, quantite=5}, {id_produit=49, quantite=8}, {id_produit=53, quantite=5}]|04-01-2021
413|91|1|[{id_produit=38, quantite=8}, {id_produit=58, quantite=7}, {id_produit=17, quantite=9}, {id_produit=10, quantite=18}, {id_produit=58, quantite=9}, {id_produit=32, quantite=2}, {id_produit=18, quantite=14}, {id_produit=16, quantite=15}, {id_produit=30, quantite=6}, {id_produit=15, quantite=7}, {id_produit=17, quantite=6}, {id_produit=33, quantite=16}, {id_produit=16, quantite=5}, {id_produit=57, quantite=2}, {id_produit=39, quantite=11}, {id_produit=11, quantite=20}]|13-10-2021
414|72|2|[{id_produit=56, quantite=16}, {id_produit=54, quantite=1}, {id_produit=60, quantite=15}]|23-01-2021
415|18|1|[{id_produit=10, quantite=13}, {id_produit=48, quantite=11}, {id_produit=34, quantite=7}, {id_produit=47, quantite=12}, {id_produit=28, quantite=4}, {id_produit=54, quantite=11}, {id_produit=33, quantite=1}, {id_produit=2, quantite=4}, {id_produit=12, quantite=8}, {id_produit=11, quantite=3}, {id_produit=48, quantite=12}]|30-05-2021
416|11|5|[{id_produit=27, quantite=19}, {id_produit=6, quantite=10}, {id_produit=37, quantite=12}, {id_produit=15, quantite=11}, {id_produit=5, quantite=9}, {id_produit=35, quantite=3}, {id_produit=2, quantite=17}, {id_produit=45, quantite=7}, {id_produit=46, quantite=14}, {id_produit=44, quantite=10}, {id_produit=37, quantite=19}, {id_produit=8, quantite=19}, {id_produit=53, quantite=14}, {id_produit=26, quantite=8}, {id_produit=46, quantite=9}, {id_produit=12, quantite=20}]|11-06-2022
417|3|3|[{id_produit=30, quantite=10}, {id_produit=59, quantite=15}, {id_produit=41, quantite=3}, {id_produit=24, quantite=14}, {id_produit=60, quantite=19}, {id_produit=15, quantite=4}, {id_produit=9, quantite=18}, {id_produit=8, quantite=18}, {id_produit=18, quantite=14}, {id_produit=13, quantite=20}, {id_produit=21, quantite=3}, {id_produit=55, quantite=12}, {id_produit=30, quantite=7}, {id_produit=8, quantite=9}, {id_produit=54, quantite=12}, {id_produit=15, quantite=1}, {id_produit=15, quantite=16}, {id_produit=29, quantite=19}, {id_produit=47, quantite=14}, {id_produit=39, quantite=7}]|17-10-2021
418|12|3|[{id_produit=4, quantite=8}, {id_produit=23, quantite=2}, {id_produit=5, quantite=19}, {id_produit=28, quantite=15}, {id_produit=21, quantite=8}, {id_produit=56, quantite=7}]|24-02-2022
419|71|1|[{id_produit=4, quantite=1}, {id_produit=49, quantite=3}, {id_produit=35, quantite=12}, {id_produit=19, quantite=10}, {id_produit=28, quantite=1}, {id_produit=56, quantite=3}, {id_produit=54, quantite=17}, {id_produit=4, quantite=13}]|23-04-2021
420|65|4|[{id_produit=38, quantite=12}, {id_produit=20, quantite=14}, {id_produit=14, quantite=6}, {id_produit=16, quantite=4}, {id_produit=55, quantite=10}, {id_produit=11, quantite=18}, {id_produit=32, quantite=10}, {id_produit=50, quantite=15}, {id_produit=45, quantite=10}, {id_produit=2, quantite=5}, {id_produit=8, quantite=17}, {id_produit=28, quantite=10}]|21-02-2021
421|15|3|[{id_produit=42, quantite=6}, {id_produit=33, quantite=7}, {id_produit=3, quantite=6}, {id_produit=54, quantite=16}, {id_produit=56, quantite=2}, {id_produit=60, quantite=9}, {id_produit=46, quantite=17}, {id_produit=44, quantite=8}, {id_produit=9, quantite=20}, {id_produit=37, quantite=13}, {id_produit=28, quantite=7}, {id_produit=28, quantite=13}]|02-11-2021
422|41|2|[{id_produit=53, quantite=11}, {id_produit=9, quantite=16}, {id_produit=59, quantite=14}, {id_produit=57, quantite=12}, {id_produit=56, quantite=4}, {id_produit=17, quantite=8}, {id_produit=41, quantite=18}, {id_produit=17, quantite=20}, {id_produit=25, quantite=13}, {id_produit=37, quantite=14}, {id_produit=56, quantite=19}, {id_produit=37, quantite=13}, {id_produit=46, quantite=20}, {id_produit=30, quantite=4}, {id_produit=32, quantite=17}, {id_produit=21, quantite=7}, {id_produit=22, quantite=3}, {id_produit=20, quantite=12}]|22-10-2022
423|6|4|[{id_produit=42, quantite=8}, {id_produit=60, quantite=18}, {id_produit=34, quantite=13}, {id_produit=58, quantite=10}, {id_produit=14, quantite=5}, {id_produit=37, quantite=2}, {id_produit=7, quantite=5}, {id_produit=24, quantite=2}, {id_produit=56, quantite=9}, {id_produit=16, quantite=14}, {id_produit=20, quantite=1}, {id_produit=25, quantite=9}]|10-10-2022
424|95|1|[{id_produit=44, quantite=18}, {id_produit=3, quantite=12}, {id_produit=31, quantite=12}, {id_produit=49, quantite=13}, {id_produit=4, quantite=3}, {id_produit=19, quantite=16}, {id_produit=56, quantite=15}, {id_produit=53, quantite=7}, {id_produit=14, quantite=6}, {id_produit=28, quantite=18}, {id_produit=57, quantite=2}, {id_produit=33, quantite=3}, {id_produit=52, quantite=2}, {id_produit=28, quantite=13}, {id_produit=23, quantite=15}, {id_produit=51, quantite=9}, {id_produit=43, quantite=3}, {id_produit=53, quantite=20}]|27-07-2022
425|73|5|[{id_produit=20, quantite=4}, {id_produit=32, quantite=18}, {id_produit=38, quantite=18}, {id_produit=11, quantite=12}, {id_produit=4, quantite=2}, {id_produit=12, quantite=9}, {id_produit=29, quantite=8}, {id_produit=33, quantite=12}, {id_produit=37, quantite=10}, {id_produit=40, quantite=7}, {id_produit=55, quantite=4}, {id_produit=36, quantite=8}, {id_produit=31, quantite=5}, {id_produit=16, quantite=13}, {id_produit=39, quantite=14}, {id_produit=53, quantite=17}]|11-03-2021
426|42|3|[{id_produit=37, quantite=7}, {id_produit=41, quantite=9}, {id_produit=5, quantite=2}, {id_produit=12, quantite=9}, {id_produit=9, quantite=3}, {id_produit=38, quantite=7}, {id_produit=49, quantite=19}]|27-05-2021
427|75|5|[{id_produit=58, quantite=19}, {id_produit=26, quantite=6}, {id_produit=47, quantite=1}]|21-04-2021
428|25|4|[{id_produit=10, quantite=15}, {id_produit=33, quantite=1}, {id_produit=35, quantite=20}, {id_produit=23, quantite=3}, {id_produit=11, quantite=18}, {id_produit=5, quantite=10}, {id_produit=42, quantite=14}, {id_produit=55, quantite=1}, {id_produit=17, quantite=19}, {id_produit=18, quantite=4}, {id_produit=37, quantite=12}, {id_produit=50, quantite=10}, {id_produit=58, quantite=14}, {id_produit=1, quantite=19}, {id_produit=42, quantite=11}, {id_produit=36, quantite=4}, {id_produit=8, quantite=5}]|05-02-2021
429|43|5|[{id_produit=44, quantite=17}, {id_produit=8, quantite=6}, {id_produit=53, quantite=19}, {id_produit=45, quantite=2}, {id_produit=17, quantite=12}, {id_produit=38, quantite=6}, {id_produit=33, quantite=19}, {id_produit=13, quantite=1}, {id_produit=33, quantite=6}, {id_produit=34, quantite=11}, {id_produit=54, quantite=10}]|25-07-2021
430|95|5|[{id_produit=19, quantite=7}, {id_produit=50, quantite=2}, {id_produit=60, quantite=5}, {id_produit=25, quantite=6}, {id_produit=46, quantite=9}, {id_produit=33, quantite=2}, {id_produit=4, quantite=7}, {id_produit=56, quantite=5}, {id_produit=33, quantite=18}, {id_produit=10, quantite=6}, {id_produit=10, quantite=7}, {id_produit=16, quantite=4}, {id_produit=60, quantite=2}, {id_produit=58, quantite=2}, {id_produit=7, quantite=18}, {id_produit=16, quantite=16}]|16-09-2021
431|84|2|[{id_produit=42, quantite=3}, {id_produit=47, quantite=5}, {id_produit=13, quantite=8}, {id_produit=14, quantite=16}, {id_produit=19, quantite=19}, {id_produit=24, quantite=9}, {id_produit=24, quantite=6}, {id_produit=10, quantite=11}, {id_produit=33, quantite=11}, {id_produit=38, quantite=11}, {id_produit=23, quantite=8}]|28-09-2021
432|68|5|[{id_produit=48, quantite=18}, {id_produit=21, quantite=6}, {id_produit=1, quantite=16}, {id_produit=21, quantite=8}, {id_produit=57, quantite=4}, {id_produit=35, quantite=5}, {id_produit=22, quantite=19}, {id_produit=34, quantite=11}, {id_produit=4, quantite=15}, {id_produit=60, quantite=8}, {id_produit=1, quantite=18}, {id_produit=21, quantite=2}]|25-11-2022
433|18|3|[{id_produit=43, quantite=6}, {id_produit=47, quantite=15}, {id_produit=11, quantite=10}, {id_produit=41, quantite=1}, {id_produit=57, quantite=7}, {id_produit=46, quantite=9}, {id_produit=46, quantite=10}, {id_produit=4, quantite=8}, {id_produit=11, quantite=3}, {id_produit=36, quantite=4}, {id_produit=20, quantite=3}, {id_produit=25, quantite=5}, {id_produit=1, quantite=7}, {id_produit=17, quantite=20}, {id_produit=21, quantite=18}, {id_produit=28, quantite=16}, {id_produit=44, quantite=3}, {id_produit=7, quantite=15}, {id_produit=28, quantite=1}, {id_produit=21, quantite=13}]|17-11-2021
434|45|1|[{id_produit=5, quantite=4}, {id_produit=43, quantite=8}, {id_produit=33, quantite=6}, {id_produit=20, quantite=12}, {id_produit=15, quantite=5}, {id_produit=45, quantite=17}, {id_produit=54, quantite=19}, {id_produit=13, quantite=11}, {id_produit=2, quantite=14}, {id_produit=23, quantite=2}, {id_produit=22, quantite=14}, {id_produit=32, quantite=12}, {id_produit=36, quantite=15}, {id_produit=26, quantite=12}, {id_produit=38, quantite=14}, {id_produit=5, quantite=18}]|22-05-2021
435|99|5|[{id_produit=45, quantite=17}, {id_produit=12, quantite=3}, {id_produit=15, quantite=3}, {id_produit=51, quantite=13}, {id_produit=14, quantite=18}, {id_produit=42, quantite=9}, {id_produit=52, quantite=11}]|07-10-2021
436|77|1|[{id_produit=20, quantite=14}, {id_produit=57, quantite=13}, {id_produit=60, quantite=13}, {id_produit=47, quantite=12}, {id_produit=11, quantite=1}, {id_produit=42, quantite=17}, {id_produit=8, quantite=14}, {id_produit=40, quantite=13}, {id_produit=21, quantite=10}, {id_produit=50, quantite=2}, {id_produit=28, quantite=13}, {id_produit=56, quantite=15}, {id_produit=7, quantite=15}, {id_produit=11, quantite=7}]|23-03-2022
437|53|4|[{id_produit=25, quantite=8}, {id_produit=5, quantite=14}, {id_produit=14, quantite=20}, {id_produit=2, quantite=3}, {id_produit=13, quantite=7}, {id_produit=44, quantite=16}, {id_produit=40, quantite=2}, {id_produit=59, quantite=20}, {id_produit=20, quantite=6}, {id_produit=49, quantite=2}, {id_produit=32, quantite=18}, {id_produit=56, quantite=8}, {id_produit=31, quantite=14}, {id_produit=34, quantite=16}, {id_produit=38, quantite=14}, {id_produit=35, quantite=8}]|05-02-2022
438|90|4|[{id_produit=46, quantite=8}, {id_produit=60, quantite=10}, {id_produit=23, quantite=20}, {id_produit=42, quantite=15}, {id_produit=60, quantite=17}, {id_produit=47, quantite=15}, {id_produit=26, quantite=1}, {id_produit=4, quantite=8}, {id_produit=6, quantite=3}, {id_produit=12, quantite=4}, {id_produit=59, quantite=19}, {id_produit=21, quantite=18}, {id_produit=20, quantite=10}, {id_produit=22, quantite=18}, {id_produit=36, quantite=3}, {id_produit=43, quantite=11}]|05-03-2021
439|90|1|[{id_produit=32, quantite=19}, {id_produit=17, quantite=20}, {id_produit=12, quantite=1}, {id_produit=23, quantite=3}, {id_produit=22, quantite=20}, {id_produit=55, quantite=6}, {id_produit=54, quantite=3}, {id_produit=49, quantite=12}, {id_produit=21, quantite=7}, {id_produit=4, quantite=6}, {id_produit=14, quantite=7}, {id_produit=22, quantite=19}, {id_produit=5, quantite=20}, {id_produit=47, quantite=17}]|12-02-2022
440|80|5|[{id_produit=32, quantite=17}, {id_produit=2, quantite=1}, {id_produit=36, quantite=13}, {id_produit=1, quantite=18}, {id_produit=53, quantite=15}, {id_produit=32, quantite=16}, {id_produit=24, quantite=18}, {id_produit=21, quantite=18}, {id_produit=19, quantite=16}, {id_produit=20, quantite=6}, {id_produit=13, quantite=13}, {id_produit=31, quantite=3}, {id_produit=52, quantite=15}, {id_produit=51, quantite=5}]|01-11-2022
